date,year,month,day,market,category,price,price_filled,fill_method
2009-01-04,2009,1,4,Hyderabad,NECC,192.0,192.0,observed
2009-01-04,2009,1,4,Jabalpur,NECC,NA,550.0,next_price
2009-01-04,2009,1,4,Kolkata (WB),NECC,219.0,219.0,observed
2009-01-04,2009,1,4,Ludhiana,NECC,NA,168.0,next_price
2009-01-04,2009,1,4,Midnapur (KOL),NECC,NA,504.0,next_price
2009-01-04,2009,1,4,Mumbai (CC),NECC,214.0,214.0,observed
2009-01-04,2009,1,4,Mysuru,NECC,200.0,200.0,observed
2009-01-04,2009,1,4,Namakkal,NECC,200.0,200.0,observed
2009-01-04,2009,1,4,Pune,NECC,NA,168.0,next_price
2009-01-04,2009,1,4,Raipur,NECC,NA,180.0,next_price
2009-01-04,2009,1,4,Surat,NECC,NA,445.0,next_price
2009-01-04,2009,1,4,Vijayawada,NECC,190.0,190.0,observed
2009-01-04,2009,1,4,Vizag,NECC,202.0,202.0,observed
2009-01-04,2009,1,4,W.Godavari,NECC,190.0,190.0,observed
2009-01-04,2009,1,4,Warangal,NECC,193.0,193.0,observed
2009-01-04,2009,1,4,Allahabad (CC),PREVAILING,NA,198.0,next_price
2009-01-04,2009,1,4,Bhopal,PREVAILING,NA,180.0,next_price
2009-01-04,2009,1,4,Indore (CC),PREVAILING,217.0,217.0,observed
2009-01-04,2009,1,4,Jabalpur,PREVAILING,215.0,215.0,observed
2009-01-04,2009,1,4,Kanpur (CC),PREVAILING,NA,200.0,next_price
2009-01-04,2009,1,4,Luknow (CC),PREVAILING,214.0,214.0,observed
2009-01-04,2009,1,4,Muzaffurpur (CC),PREVAILING,NA,490.0,next_price
2009-01-04,2009,1,4,Nagpur,PREVAILING,208.0,208.0,observed
2009-01-04,2009,1,4,Patna,PREVAILING,NA,486.0,next_price
2009-01-04,2009,1,4,Ranchi  (CC),PREVAILING,NA,500.0,next_price
2009-01-04,2009,1,4,Varanasi (CC),PREVAILING,214.0,214.0,observed
2009-01-05,2009,1,5,Ahmedabad,NECC,210.0,210.0,observed
2009-01-05,2009,1,5,Ajmer,NECC,230.0,230.0,observed
2009-01-05,2009,1,5,Asansole,NECC,NA,500.0,next_price
2009-01-05,2009,1,5,Barwala,NECC,NA,168.0,next_price
2009-01-05,2009,1,5,Bengaluru (CC),NECC,198.0,198.0,observed
2009-01-05,2009,1,5,Brahmapur (OD),NECC,NA,305.0,next_price
2009-01-05,2009,1,5,Burdwan (CC),NECC,NA,504.0,next_price
2009-01-05,2009,1,5,Chennai (CC),NECC,203.0,203.0,observed
2009-01-05,2009,1,5,Chittoor,NECC,196.0,196.0,observed
2009-01-05,2009,1,5,Delhi (CC),NECC,234.0,234.0,observed
2009-01-05,2009,1,5,E.Godavari,NECC,NA,211.0,next_price
2009-01-05,2009,1,5,Hospet,NECC,NA,165.0,next_price
2009-01-05,2009,1,5,Hyderabad,NECC,192.0,192.0,observed
2009-01-05,2009,1,5,Jabalpur,NECC,NA,550.0,next_price
2009-01-05,2009,1,5,Kolkata (WB),NECC,219.0,219.0,observed
